Sample ID,Community,pH,Temp,EC,TDS,Na+,K+,Mg2+,Ca2+,Cl-,SO42-,HCO3-,NO3-,F-
61-16-Gu-BH 01,Yishei,9.55,30.00,505.00,258.00,0.20,64.00,39.80,1.20,14.70,1.85,58.40,92.50,19.50
62-16-Gu-BH 01,Burkina,8.64,30.00,772.00,394.00,6.90,87.70,53.60,21.20,1.34,2.70,315.20,40.00,12.90
63-16-Gu-BH 01,Gungula,8.36,30.00,574.00,293.00,7.60,56.50,46.70,0.00,0.95,2.36,320.30,2.50,6.90
64-16-Gu-BH 01,Bilsinga Chidomyili,8.50,29.70,594.00,303.00,0.80,66.80,48.00,1.40,3.65,1.68,172.00,87.50,5.10
65-16-Gu-BH 01,Sugu,8.02,29.80,798.00,407.00,0.20,92.20,68.50,24.90,0.40,42.10,363.20,20.00,3.60
66-16-Gu-BH 01,Azumaya,8.01,29.90,457.00,233.00,6.30,30.70,49.60,19.10,0.77,2.82,235.20,2.50,2.30
67-16-Gu-BH 01,Kunduli,8.47,30.10,741.00,378.00,0.20,77.50,68.40,43.20,2.27,1.59,206.50,90.00,5.70
68-16-Gu-BH 01,Nanganga,8.38,29.80,561.00,286.00,1.00,57.50,49.60,24.60,0.69,2.42,244.90,22.50,5.50
69-16-Gu-BH 01,Kpamanga,8.52,29.80,552.00,282.00,2.50,66.50,48.50,29.70,0.94,2.93,279.50,5.00,8.70
70-16-Gu-BH 01,Salaa,8.27,29.70,693.00,352.00,7.30,75.20,59.40,5.70,0.69,3.14,403.70,2.50,7.10
71-16-Gu-BH 01,Bilisi,8.62,29.80,556.00,283.00,1.40,61.60,42.90,2.30,2.93,3.41,189.30,57.50,7.40
72-16-Gu-BH 01,Wantugu,8.43,29.60,578.00,295.00,0.10,74.80,46.50,1.00,0.61,2.60,322.80,5.00,8.20
118-16-GU-BH01,Koamoayili,7.87,25.20,504.00,292.00,1.20,119.00,2.90,0.50,1.06,2.90,309.70,12.50,2.20
GI-WASH,Kpatinga Maniyili,6.42,26.20,264.00,184.80,11.40,3.40,2.80,1.10,0.37,3.00,67.00,58.30,0.00
GI-WASH,Nakunga,7.51,26.20,583.00,408.00,2.70,2.80,0.60,0.70,1.17,0.50,202.70,73.30,0.60
,,6.42,25.20,264.00,184.80,0.10,2.80,0.60,0.00,0.37,0.50,58.40,2.50,0.00
,,9.55,30.10,798.00,408.00,11.40,119.00,68.50,43.20,14.70,42.10,403.70,92.50,19.50
,,6.95,25.58,580.00,214.13,3.62,96.62,13.38,30.17,3.93,20.34,65.93,44.62,5.87
,,8.62,25.90,752.50,257.20,3.97,17.03,66.66,22.06,2.77,20.50,98.79,61.49,0.43
,,8.28,25.96,488.28,212.27,1.31,32.57,1.41,33.28,1.79,22.38,326.32,69.33,7.95
,,6.52,25.77,372.81,242.26,4.50,8.44,44.45,17.08,9.84,32.56,236.87,22.97,8.04
,,9.30,27.02,439.12,191.00,9.20,19.92,37.24,29.63,3.73,27.96,217.21,82.96,3.47
,,7.89,25.99,570.84,309.13,0.86,115.70,14.68,12.69,10.73,3.24,382.76,71.45,17.71
,,7.12,27.54,643.66,329.65,9.92,56.71,57.00,11.97,8.17,4.57,324.14,78.90,12.79
,,8.90,26.29,516.23,334.58,10.64,54.08,29.79,18.25,4.21,16.79,345.58,90.02,17.57
,,8.84,27.95,648.25,397.86,2.61,91.17,22.05,34.97,3.84,11.81,231.78,48.92,11.37
,,9.29,25.77,788.82,186.33,2.98,24.60,10.26,10.03,1.76,14.08,338.86,27.12,2.13
,,7.90,27.07,561.38,341.29,10.00,87.06,38.79,2.54,9.52,5.25,138.14,85.03,16.01
,,8.24,27.84,517.66,196.82,7.32,62.97,55.89,16.09,3.09,6.77,132.89,10.96,6.39
,,8.43,29.77,412.70,272.49,6.38,16.19,56.58,40.10,11.02,22.46,346.32,64.69,5.34
,,8.21,26.81,282.34,304.67,2.27,12.67,42.19,8.05,7.06,5.59,279.14,90.56,0.34
,,8.45,25.39,330.18,233.92,11.14,40.87,12.82,14.77,8.02,34.57,90.78,63.30,9.89
,,7.19,28.34,769.89,216.72,5.15,16.10,40.16,38.32,11.45,38.36,385.34,38.31,13.80
,,8.93,25.64,679.77,284.88,6.56,59.63,65.69,28.56,4.12,31.96,294.59,14.22,5.86
,,6.59,27.73,451.58,233.12,0.44,113.46,26.19,18.17,9.29,21.52,318.30,90.10,16.63
,,8.25,26.28,659.10,362.62,6.92,24.86,24.84,22.61,0.96,10.15,100.59,50.10,11.25
,,8.00,28.99,507.83,200.57,2.26,98.36,67.29,23.03,2.79,31.10,133.27,90.61,3.56
,,9.07,29.47,771.06,366.14,2.72,58.14,16.40,39.47,9.79,7.63,359.49,52.75,3.16
,,9.05,29.26,329.15,210.76,10.04,67.41,57.06,13.43,2.90,37.44,73.44,25.73,18.81
,,9.17,26.33,557.80,375.95,10.96,89.15,24.37,39.47,14.14,21.86,219.94,2.52,18.28
,,8.43,27.60,373.66,208.76,2.90,86.01,41.26,8.61,6.46,4.85,134.61,88.44,18.15
,,8.12,28.60,468.90,345.27,6.44,81.32,34.43,39.88,2.45,35.91,231.45,49.96,9.07
,,7.57,28.52,463.27,391.25,8.18,28.98,55.01,9.94,3.70,28.50,255.25,78.68,0.44
,,9.16,29.86,427.03,324.58,0.98,110.65,42.93,40.93,3.67,16.50,103.35,22.29,12.85
,,6.72,29.80,470.72,324.13,5.88,39.53,66.86,26.58,12.90,26.41,179.88,45.38,11.74
,,9.45,26.40,410.14,326.41,2.24,20.40,53.82,29.94,2.61,13.46,193.05,53.31,11.97
,,6.59,27.30,285.96,226.79,8.36,31.48,51.06,19.05,9.97,22.80,245.50,87.95,6.75
,,9.49,27.47,744.69,352.05,2.44,68.73,2.04,3.88,1.67,5.14,119.56,57.60,18.07
,,7.99,28.97,347.17,257.79,8.52,58.11,13.99,6.82,13.46,13.93,301.81,33.68,2.38
,,8.62,25.27,588.53,354.02,2.22,96.90,46.97,14.06,8.04,5.06,70.05,33.33,2.40
,,7.18,26.68,637.22,225.85,1.03,72.92,43.49,39.34,6.48,2.50,260.97,18.04,11.56
,,8.43,29.61,340.46,201.13,10.95,103.96,56.06,30.02,3.56,2.12,86.08,74.68,4.80
,,7.53,28.34,317.81,222.23,9.97,60.12,5.32,18.89,0.90,31.32,311.86,52.16,17.30
,,8.57,26.03,350.01,308.08,6.86,43.40,15.54,17.17,6.49,28.33,335.09,27.34,11.31
,,7.29,29.38,387.54,265.53,2.54,63.14,17.97,38.60,13.12,36.45,359.00,48.54,6.70
,,9.06,27.97,773.60,314.74,7.78,36.74,31.64,19.34,12.07,14.15,189.54,69.76,2.60
,,8.08,25.66,531.84,257.96,8.96,65.45,6.86,8.76,14.14,25.80,305.17,29.98,9.05
,,8.22,28.10,274.77,377.81,9.35,85.48,5.87,3.06,4.51,30.85,179.10,46.26,5.34
,,7.21,29.92,493.05,344.08,5.46,65.59,33.84,15.68,14.55,6.77,358.66,28.14,13.03
,,8.54,25.87,746.21,302.47,1.56,62.73,4.49,8.28,3.23,28.04,393.10,48.93,10.59
,,9.03,29.82,694.50,322.98,6.55,54.70,1.59,9.08,4.81,8.99,399.15,44.76,13.44
,,8.56,26.44,533.88,363.74,0.99,57.28,37.78,40.53,8.09,22.38,167.02,67.26,12.26
,,6.95,28.88,513.91,368.11,8.02,62.19,51.52,18.10,9.14,2.78,139.78,9.66,3.36
,,7.39,28.00,542.36,375.69,7.24,30.93,7.27,1.16,2.42,19.59,158.95,40.87,12.80
,,7.16,28.82,337.60,355.36,2.43,70.97,14.57,41.35,10.61,41.34,74.91,39.69,1.94
,,7.85,26.71,376.94,346.98,1.56,72.69,62.17,22.91,12.73,14.80,231.36,12.95,11.43
,,7.53,27.80,540.82,355.20,3.26,10.68,17.72,2.53,12.86,10.38,69.03,52.06,7.96
,,6.54,29.67,295.54,365.98,1.54,50.35,16.24,27.03,11.62,41.29,228.26,17.27,0.89
,,9.22,29.40,683.91,254.90,6.26,6.96,41.57,5.42,0.41,32.01,161.81,39.01,9.88
,,7.37,27.56,505.19,353.60,5.52,37.58,40.37,15.98,7.91,38.59,329.37,89.04,11.05
,,8.31,25.90,460.84,331.94,4.86,62.89,5.89,13.41,10.88,37.12,132.77,28.76,7.99
